phrase_name,tag_CK,count_CK,tag_j,count_j,total_count_CK,total_count_j,modified_count,modified_tag
一,"Dd, Neu","4071, 58398",m,217830,62469,217830,99788,m
一一,Dh,205,m,1670,205,1670,351,m
一丁不識,VH11,0,i,3,0,3,0,i
一丁點,Nad,5,m,3,5,3,4,m
一下子,Dd,0,m,2333,0,2333,233,m
一丘之貉,Naea,0,i,12,0,12,1,i
一乾二淨,VH11,6,"i, l","2, 115",6,117,"4, 12","i, l"
一了百了,VH11,2,l,61,2,61,7,l
一五一十,Dh,2,m,127,2,127,14,m
一些,Neqa,3240,m,33468,3240,33468,6262,m
一似,P48,1,a,3,1,3,1,a
一佛出世,VH11,0,l,5,0,5,0,l
一併,Dh,71,d,352,71,352,99,d
一來,Cbbb,60,d,854,60,854,139,d
一個勁兒,Dh,2,d,143,2,143,16,d
一個樣,VH11,1,m,62,1,62,7,m
一元復始,VH11,0,l,5,0,5,0,l
一元說,Nad,0,l,3,0,3,0,l
一元論,Nad,0,n,35,0,35,3,n
一共,Daa,99,j,726,99,726,161,j
一再,Dd,337,d,1140,337,1140,417,d
一刀兩斷,VH11,3,i,60,3,60,8,i
一分為二,VB12,5,i,108,5,108,15,i
一分耕耘,Nad,0,n,3,0,3,0,n
一切,Neqa,1203,r,16361,1203,16361,2718,r
一刻千金,VH11,0,m,3,0,3,0,m
一則,Cbbb,27,m,851,27,851,109,m
一剎那,Nad,62,t,212,62,212,77,t
一動不動,Dh,3,l,503,3,503,53,l
一動不如一靜,VH11,0,l,2,0,2,0,l
一勞永逸,VH11,5,nr,34,5,34,7,nr
一匙之量,Naa,0,n,3,0,3,0,n
一千零一夜,Nba,0,m,30,0,30,3,m
一去不回,VH11,0,i,3,0,3,0,i
一去不返,VH11,0,i,29,0,29,2,i
一口咬定,VE2,5,i,86,5,86,13,i
一口氣,Dh,72,i,1934,72,1934,258,i
一古腦兒,Dh,0,l,108,0,108,10,l
一同,Dh,136,d,1031,136,1031,225,d
一向,Dd,366,d,1487,366,1487,478,d
一味,Dh,92,m,762,92,762,159,m
一呼百諾,VH11,0,l,10,0,10,1,l
一命嗚呼,VH11,3,i,183,3,183,21,i
一品鍋,Nab,0,n,3,0,3,0,n
一唱一和,VA4,0,i,27,0,27,2,i
一問三不知,VH11,1,i,29,1,29,3,i
一團和氣,VH11,1,n,23,1,23,3,n
一團糟,VH11,3,i,37,3,37,6,i
一塊,Dh,64,m,7001,64,7001,757,m
一塊兒,Dh,62,d,648,62,648,120,d
一塌糊塗,VH11,8,i,107,8,107,17,i
一塵不染,VH11,3,i,85,3,85,11,i
一壘手,Nab,2,n,3,2,3,2,n
一夥兒,Dh,0,"r, z","3, 3",0,6,"0, 0","r, z"
一大早,Ndc,57,l,403,57,403,91,l
一天到晚,Dd,44,l,297,44,297,69,l
一夫多妻,VH11,3,i,3,3,3,3,i
一失足成千古恨,VH11,0,i,7,0,7,0,i
一如,"P48, VG2","72, 6",c,336,78,336,137,c
一妻制,Nad,0,n,3,0,3,0,n
一妻多夫,Nad,0,i,3,0,3,0,i
一字之差,VH11,0,l,15,0,15,1,l
一字千金,VH11,1,l,5,1,5,1,l
一官半職,Naea,1,i,31,1,31,4,i
一定,"A, Dbaa","331, 2138",d,25293,2469,25293,7280,d
一家子,Nhab,3,n,150,3,150,17,n
一展長才,VA4,2,l,3,2,3,2,l
一己,A,13,r,3,13,3,12,r
一己之私,Nad,3,i,6,3,6,3,i
一帆風順,VH11,14,i,125,14,125,25,i
一席之地,Nad,23,l,107,23,107,31,l
一帶,Ncdb,238,n,4254,238,4254,639,n
一干,A,5,m,3,5,3,4,m
一年之計在於春,VH11,0,i,3,0,3,0,i
一年到頭,Dd,9,l,77,9,77,15,l
一度,Dd,123,mq,2653,123,2653,376,mq
一廂情願,VH21,14,i,92,14,92,21,i
一彈指,Dd,0,j,3,0,3,0,j
一往情深,VI1,2,i,97,2,97,11,i
一律,Dab,128,d,1565,128,1565,271,d
一德一心,VH11,0,i,2,0,2,0,i
一心,Dh,69,d,863,69,863,148,d
一心一意,"Dh, VH11","21, 0",i,231,21,231,65,i
一念之差,Nad,2,i,26,2,26,4,i
一忽見,Dd,0,l,3,0,3,0,l
一息尚存,VH11,1,l,16,1,16,2,l
一意孤行,VA4,8,i,72,8,72,14,i
一應俱全,VH11,17,i,100,17,100,25,i
一成不變,VH11,21,i,374,21,374,56,i
一手,Dh,54,m,1665,54,1665,215,m
一手交貨,VA4,0,n,3,0,3,0,n
一手交錢,VA4,0,n,3,0,3,0,n
一手包辦,VC2,9,i,25,9,25,10,i
一手遮天,VA4,2,i,14,2,14,3,i
一技之長,Nad,21,i,56,21,56,24,i
一拍即合,VH11,6,i,40,6,40,9,i
一招半式,Naea,1,l,3,1,3,1,l
一掃而空,VH11,7,i,36,7,36,9,i
一揮而就,VH11,0,i,16,0,16,1,i
一擲千金,VA4,1,i,26,1,26,3,i
一敗塗地,VH11,6,i,177,6,177,23,i
一文不值,VH11,4,l,19,4,19,5,l
一文不名,VH11,3,l,9,3,9,3,l
一方面,Cbbb,479,mq,2945,479,2945,725,mq
一旁,Ncdb,17,s,1005,17,1005,115,s
一日三秋,VH11,0,i,2,0,2,0,i
一日千里,VH11,9,m,26,9,26,10,m
一日為師,VH11,0,i,3,0,3,0,i
一旦,"Cbba, Nddb","526, 0",d,5312,526,5312,1535,d
一早,Dd,67,d,785,67,785,138,d
一時,Ndabe,0,d,5389,0,5389,538,d
一時之間,Dd,24,l,3,24,3,21,l
一晝,Nad,0,n,3,0,3,0,n
一暴十寒,VH11,0,l,3,0,3,0,l
一曝十寒,VH11,0,i,3,0,3,0,i
一會,Nddc,0,m,3178,0,3178,317,m
一會兒,Nddc,0,m,3200,0,3200,320,m
一月,Ndabc,0,m,623,0,623,62,m
一望無垠,VH11,3,i,12,3,12,3,i
一望無邊,VH11,1,i,9,1,9,1,i
一望無際,VH11,18,i,82,18,82,24,i
一望而知,VH11,0,i,29,0,29,2,i
一朝,Dd,7,t,196,7,196,25,t
一朝一夕,Nddc,0,i,79,0,79,7,i
一朝之忿,Nad,0,i,3,0,3,0,i
一朝天子一朝臣,VH11,0,i,10,0,10,1,i
一木難支,VH11,0,i,3,0,3,0,i
一本正經,VH11,8,d,224,8,224,29,d
一本萬利,VH11,8,l,24,8,24,9,l
一板一眼,VH11,0,i,32,0,32,3,i
一枝之棲,Nad,1,nr,3,1,3,1,nr
一枝春,Nba,0,i,3,0,3,0,i
一枝獨秀,VH11,13,i,35,13,35,15,i
一枝香,Nba,0,i,3,0,3,0,i
