file,no,content,a,b,c,d,e,ans
2016-07-31-14-08-23.txt,2,竹節包的出現是來自戰後物質匱乏的1947年　︽⊙＿⊙︽工匠們獨具巧心和創意的創作,國道,小肚,gucci,秋吉,硫酸,c
2016-07-31-14-08-23.txt,1,"開車的人比較不會那麼累    從台北開下去動輒5~6小時車程真的很長,到︽⊙＿⊙︽也癱了!!",面向,墾丁,良哥,禮服,過度,b
2016-07-31-14-08-23.txt,3,個人覺得 natural ︽⊙＿⊙︽ 店裡的擺設屬於鄉村風，相當有味道，往往一個很普通的東西混著擺起來就是特別好看，但其實試想，如果把任何一樣東西拿到類似辦公室這種冰冷色調的地方擺，那氛圍很容易完全走樣，實物看起來也就完全不生火了耶!!! 除了東西本身，整個家裡的色調跟氣氛很重要阿，不然再有風格的東西拿回家都不夠力的，居家裝潢、室內設計就是這麼回事,餐墊,音波淨膚儀,浴廁,balenciaga,kitchen,e
2016-07-31-14-08-23.txt,5,阿伯鐵馬可以借我一下嗎?我們腳酸了~~。然後，我好像沒發現︽⊙＿⊙︽附近有租借自行車的服務,書坊,鳳林,國色,松勇路,船帆,b
2016-07-31-14-08-23.txt,4,"他擅長把簡約的俐落感結合女性柔美的特質, 全新上市的︽⊙＿⊙︽show系列眼妝線條更俐落",傳明酸,超彈潤青,dior,碧兒泉,群英,c
2016-07-31-15-02-02.txt,1,熱水池可以容納二大二小沒問題，果然到︽⊙＿⊙︽泡無色無味的溫泉很舒服，泡的身子暖呼呼，回民宿後果然很好睡呀,聚會,礁溪,貝殼,高昂,開機,b
2016-07-31-15-02-02.txt,2,臺北市公園處在︽⊙＿⊙︽公園種植了數十株的落羽松，每逢冬季，便會把碧綠︽⊙＿⊙︽暈染一片紅,記錄,大湖,總統,菜刀,名字,b
2016-07-31-15-02-02.txt,4,"""因為地處︽⊙＿⊙︽的高點--號稱""""全︽⊙＿⊙︽最高的溫泉"""",又有""""︽⊙＿⊙︽101""""的別""",烏來,熊肉,農會,新港鴨肉羹,夜釣小管,a
2016-07-31-15-02-02.txt,3,從走廊走到旁邊的小平台，從這裡看景色。此時，陽光從雲層縫隙中照射出來，映照在︽⊙＿⊙︽洋上,太平,行旅,橋頭臭豆腐,意誠里,梅園,a
2016-07-31-15-02-02.txt,5,︽⊙＿⊙︽水利局副局長彭紹博表示，該工程是經濟部水利署所建，但因工程已經完工，市府針對此狀況，正積極尋求補救，希望在兩岸闢建公園，但因地價太高，還在努力中,保護區,台南市,大院,銅鑼,真愛碼頭,b
2016-07-31-16-04-08.txt,1,位在陽明醫院對面的富士屋是︽⊙＿⊙︽麵包老店，麵包會不定時研發出新口味，而一直受大家好評的蛋糕到現在還是走傳統口味，不斷創新中又保有舊有傳統精華,腰頭,秋田,棉外套,宜蘭,含量,d
2016-07-31-16-04-08.txt,2,︽⊙＿⊙︽ camera 為了慶祝50萬人次的下次，免費大放送，8張可愛的熊大貼圖，喜歡用︽⊙＿⊙︽ camera的朋友別忘了快點去下載哦。另外的就是在商店裏也有一些貼圖原本要60元，目前都還有特價5折只要30元哦。大家別錯過了,杯水,line,賴清德,雙溪,綠地,b
2016-07-31-16-04-08.txt,5,︽⊙＿⊙︽名產 將在地食材發揮極致的玫瑰蔓越莓酥 百香果酥 特色手工點心 泰酥,港式,三民高,龍井,埔里,靜巷,d
2016-07-31-16-04-08.txt,4,鎮風石塔是︽⊙＿⊙︽當地石敢當的一種，石敢當其實就是傳統中國人用來避災解厄鎮魔之物。因為鎖港這裡的地勢低平缺乏山勢屏障，冬季常受東北季風侵襲，所以鎖港人建造了石塔來鎮住這個風水缺陷,見學,新埔,青蛙,崙背,澎湖,e
2016-07-31-16-04-08.txt,3,肌膚之鑰xswash ︽⊙＿⊙︽極致香水隨身版/2015 vip年度回饋禮三檻明,ettusais,london,歌劇院,香奈兒,眼線筆,b
2016-07-31-17-06-20.txt,1,2013年春季新品：︽⊙＿⊙︽ glam nature增毛級360度超濃密睫毛,金融,人房,泳褲,visee,葛瑪蘭,d
2016-07-31-17-06-20.txt,3,從台北車站沿著館前路往228公園方向，經過︽⊙＿⊙︽兩個街口後，就在星巴克咖啡樓上9,彩虹橋,古亭,黑曜岩,悟饕,新光三越,e
2016-07-31-17-06-20.txt,2,坐在火車上前往︽⊙＿⊙︽火車站的途中就電話詢問當地人哪一間租車店比較好，他推薦我們後站,御靈,台南,韋德,記憶體,冷水,b
2016-07-31-17-06-20.txt,5,這裏可稍坐休息一下，夏日炎炎吹吹冷氣也很舒服，如果時間足夠的話，可以看看︽⊙＿⊙︽島的影片介,城牆,龜山,天府家常菜,南府,國定,b
2016-07-31-17-06-20.txt,4,因為感覺時間就要很久，所以剛掛完號我就請高大哥先回去，我們在醫院折騰了四小時，出來還遇到人很好的計程車司機，︽⊙＿⊙︽真,宜蘭,新莊,蔣公,白河,蒸餃,a
2016-07-31-18-08-27.txt,2,一個狗狗圖案，一個是紅底花朵圖案。這個小袋子真的非常實用，尤其對有一堆哩哩扣扣小東西的女生來說。我現在包包裡就已經放一個，裡面裝一些︽⊙＿⊙︽髮圈之類的小東西。如果讓我選，我當然是選cath的招牌圖案小花，但是這次我買這個拉鍊袋的目的是要裝我的nd,護唇膏,勢力,肥料,場景,壁爐,a
