file,no,content,a,b,c,d,e,ans
2016-07-31-14-08-23.txt,2,竹节包的出现是来自战后物质匮乏的1947年　︽⊙＿⊙︽工匠们独具巧心和创意的创作,国道,小肚,gucci,秋吉,硫酸,c
2016-07-31-14-08-23.txt,1,"开车的人比较不会那么累    从台北开下去动辄5~6小时车程真的很长,到︽⊙＿⊙︽也瘫了!!",面向,垦丁,良哥,礼服,过度,b
2016-07-31-14-08-23.txt,3,个人觉得 natural ︽⊙＿⊙︽ 店里的摆设属于乡村风，相当有味道，往往一个很普通的东西混着摆起来就是特别好看，但其实试想，如果把任何一样东西拿到类似办公室这种冰冷色调的地方摆，那氛围很容易完全走样，实物看起来也就完全不生火了耶!!! 除了东西本身，整个家里的色调跟气氛很重要阿，不然再有风格的东西拿回家都不够力的，居家装潢、室内设计就是这么回事,餐垫,音波净肤仪,浴厕,balenciaga,kitchen,e
2016-07-31-14-08-23.txt,5,阿伯铁马可以借我一下吗?我们脚酸了~~。然后，我好像没发现︽⊙＿⊙︽附近有租借自行车的服务,书坊,凤林,国色,松勇路,船帆,b
2016-07-31-14-08-23.txt,4,"他擅长把简约的俐落感结合女性柔美的特质, 全新上市的︽⊙＿⊙︽show系列眼妆线条更俐落",传明酸,超弹润青,dior,碧儿泉,群英,c
2016-07-31-15-02-02.txt,1,热水池可以容纳二大二小没问题，果然到︽⊙＿⊙︽泡无色无味的温泉很舒服，泡的身子暖呼呼，回民宿后果然很好睡呀,聚会,礁溪,贝壳,高昂,开机,b
2016-07-31-15-02-02.txt,2,台北市公园处在︽⊙＿⊙︽公园种植了数十株的落羽松，每逢冬季，便会把碧绿︽⊙＿⊙︽晕染一片红,记录,大湖,总统,菜刀,名字,b
2016-07-31-15-02-02.txt,4,"""因为地处︽⊙＿⊙︽的高点--号称""""全︽⊙＿⊙︽最高的温泉"""",又有""""︽⊙＿⊙︽101""""的别""",乌来,熊肉,农会,新港鸭肉羹,夜钓小管,a
2016-07-31-15-02-02.txt,3,从走廊走到旁边的小平台，从这里看景色。此时，阳光从云层缝隙中照射出来，映照在︽⊙＿⊙︽洋上,太平,行旅,桥头臭豆腐,意诚里,梅园,a
2016-07-31-15-02-02.txt,5,︽⊙＿⊙︽水利局副局长彭绍博表示，该工程是经济部水利署所建，但因工程已经完工，市府针对此状况，正积极寻求补救，希望在两岸辟建公园，但因地价太高，还在努力中,保护区,台南市,大院,铜锣,真爱码头,b
2016-07-31-16-04-08.txt,1,位在阳明医院对面的富士屋是︽⊙＿⊙︽面包老店，面包会不定时研发出新口味，而一直受大家好评的蛋糕到现在还是走传统口味，不断创新中又保有旧有传统精华,腰头,秋田,棉外套,宜兰,含量,d
2016-07-31-16-04-08.txt,2,︽⊙＿⊙︽ camera 为了庆祝50万人次的下次，免费大放送，8张可爱的熊大贴图，喜欢用︽⊙＿⊙︽ camera的朋友别忘了快点去下载哦。另外的就是在商店里也有一些贴图原本要60元，目前都还有特价5折只要30元哦。大家别错过了,杯水,line,赖清德,双溪,绿地,b
2016-07-31-16-04-08.txt,5,︽⊙＿⊙︽名产 将在地食材发挥极致的玫瑰蔓越莓酥 百香果酥 特色手工点心 泰酥,港式,三民高,龙井,埔里,静巷,d
2016-07-31-16-04-08.txt,4,镇风石塔是︽⊙＿⊙︽当地石敢当的一种，石敢当其实就是传统中国人用来避灾解厄镇魔之物。因为锁港这里的地势低平缺乏山势屏障，冬季常受东北季风侵袭，所以锁港人建造了石塔来镇住这个风水缺陷,见学,新埔,青蛙,仑背,澎湖,e
2016-07-31-16-04-08.txt,3,肌肤之钥xswash ︽⊙＿⊙︽极致香水随身版/2015 vip年度回馈礼三槛明,ettusais,london,歌剧院,香奈儿,眼线笔,b
2016-07-31-17-06-20.txt,1,2013年春季新品：︽⊙＿⊙︽ glam nature增毛级360度超浓密睫毛,金融,人房,泳裤,visee,葛玛兰,d
2016-07-31-17-06-20.txt,3,从台北车站沿着馆前路往228公园方向，经过︽⊙＿⊙︽两个街口后，就在星巴克咖啡楼上9,彩虹桥,古亭,黑曜岩,悟饕,新光三越,e
2016-07-31-17-06-20.txt,2,坐在火车上前往︽⊙＿⊙︽火车站的途中就电话询问当地人哪一间租车店比较好，他推荐我们后站,御灵,台南,韦德,记忆体,冷水,b
2016-07-31-17-06-20.txt,5,这里可稍坐休息一下，夏日炎炎吹吹冷气也很舒服，如果时间足够的话，可以看看︽⊙＿⊙︽岛的影片介,城墙,龟山,天府家常菜,南府,国定,b
2016-07-31-17-06-20.txt,4,因为感觉时间就要很久，所以刚挂完号我就请高大哥先回去，我们在医院折腾了四小时，出来还遇到人很好的计程车司机，︽⊙＿⊙︽真,宜兰,新庄,蒋公,白河,蒸饺,a
2016-07-31-18-08-27.txt,2,一个狗狗图案，一个是红底花朵图案。这个小袋子真的非常实用，尤其对有一堆哩哩扣扣小东西的女生来说。我现在包包里就已经放一个，里面装一些︽⊙＿⊙︽发圈之类的小东西。如果让我选，我当然是选cath的招牌图案小花，但是这次我买这个拉链袋的目的是要装我的nd,护唇膏,势力,肥料,场景,壁炉,a
2016-07-31-18-08-27.txt,1,日据之后，日本随即派兵进驻台湾，在陆军方面，由步兵第一联队守卫台北，第二联队驻扎台南，︽⊙＿⊙︽大成馆及旧文学院即为原日军步兵第二联队之建筑,刘海,成功大学,乐扣,挖空,药膏,b
2016-07-31-18-08-27.txt,4,"""看了那么多说明，但第一次使用时还是有点不习惯 它清透如水，跟我印象中的︽⊙＿⊙︽完全不一样，使用起来像是化妆水般清爽，却保湿的""",营养素,smashbox,holika,精华液,太白,d
